UF,COD.UF,COD.MUNIC,NOMEDOMUNICÍPIO,POPULAÇÃO
RO,11.0,15.0,Alta Floresta D'Oeste,21.558
RO,11.0,23.0,Ariquemes,100.896
RO,11.0,31.0,Cabixi,5.107
RO,11.0,49.0,Cacoal,92.202
RO,11.0,56.0,Cerejeiras,15.237
RO,11.0,64.0,Colorado do Oeste,15.747
RO,11.0,72.0,Corumbiara,7.503
RO,11.0,80.0,Costa Marques,12.633
RO,11.0,98.0,Espigão D'Oeste,29.722
RO,11.0,106.0,Guajará-Mirim,39.396
RO,11.0,114.0,Jaru,52.09
RO,11.0,122.0,Ji-Paraná,136.825
RO,11.0,130.0,Machadinho D'Oeste,30.626
RO,11.0,148.0,Nova Brasilândia D'Oeste,17.355
RO,11.0,155.0,Ouro Preto do Oeste,36.753
RO,11.0,189.0,Pimenta Bueno,37.464
RO,11.0,205.0,Porto Velho,461.748(1)
RO,11.0,254.0,Presidente Médici,19.316
RO,11.0,262.0,Rio Crespo,3.476
RO,11.0,288.0,Rolim de Moura,57.18
RO,11.0,296.0,Santa Luzia D'Oeste,7.394
RO,11.0,304.0,Vilhena,95.599
RO,11.0,320.0,São Miguel do Guaporé,21.612
RO,11.0,338.0,Nova Mamoré,25.452
RO,11.0,346.0,Alvorada D'Oeste,13.092
RO,11.0,379.0,Alto Alegre dos Parecis,13.023
RO,11.0,403.0,Alto Paraíso,17.14
RO,11.0,452.0,Buritis,28.178
RO,11.0,502.0,Novo Horizonte do Oeste,7.653
RO,11.0,601.0,Cacaulândia,4.157
RO,11.0,700.0,Campo Novo de Rondônia,8.84
RO,11.0,809.0,Candeias do Jamari,22.564
RO,11.0,908.0,Castanheiras,3.269
RO,11.0,924.0,Chupinguaia,9.351
RO,11.0,940.0,Cujubim,14.338
RO,11.0,1005.0,Governador Jorge Teixeira,8.012
RO,11.0,1104.0,Itapuã do Oeste,9.465
RO,11.0,1203.0,Ministro Andreazza,6.44
RO,11.0,1302.0,Mirante da Serra,9.2
RO,11.0,1401.0,Monte Negro,11.966
RO,11.0,1435.0,Nova União,6.194
RO,11.0,1450.0,Parecis,3.953
RO,11.0,1468.0,Pimenteiras do Oeste,2.18
RO,11.0,1476.0,Primavera de Rondônia,3.071
RO,11.0,1484.0,São Felipe D'Oeste,5.259
RO,11.0,1492.0,São Francisco do Guaporé,16.302
RO,11.0,1500.0,Seringueiras,11.183
RO,11.0,1559.0,Teixeirópolis,4.284
RO,11.0,1609.0,Theobroma,9.253
RO,11.0,1708.0,Urupá,10.828
RO,11.0,1757.0,Vale do Anari,7.806
RO,11.0,1807.0,Vale do Paraíso,6.487
AC,12.0,13.0,Acrelândia,12.707
AC,12.0,54.0,Assis Brasil,8.157
AC,12.0,104.0,Brasiléia,25.786
AC,12.0,138.0,Bujari,11.962
AC,12.0,179.0,Capixaba,9.737
AC,12.0,203.0,Cruzeiro do Sul,94.345
AC,12.0,252.0,Epitaciolândia,18.697
AC,12.0,302.0,Feijó,35.035
AC,12.0,328.0,Jordão,11.105
AC,12.0,336.0,Mâncio Lima,19.172
AC,12.0,344.0,Manoel Urbano,12.246
AC,12.0,351.0,Marechal Thaumaturgo,16.825
AC,12.0,385.0,Plácido de Castro,16.313
AC,12.0,393.0,Porto Walter,10.706
AC,12.0,401.0,Rio Branco,364.368
AC,12.0,427.0,Rodrigues Alves,16.072
AC,12.0,435.0,Santa Rosa do Purus,7.672
AC,12.0,450.0,Senador Guiomard,21.658
AC,12.0,500.0,Sena Madureira,39.746
AC,12.0,609.0,Tarauacá,43.072
AC,12.0,708.0,Xapuri,18.181
AC,12.0,807.0,Porto Acre,16.218
AM,13.0,29.0,Alvarães,15.916(2)
AM,13.0,60.0,Amaturá,10.814
AM,13.0,86.0,Anamã,9.927
AM,13.0,102.0,Anori,17.052
AM,13.0,144.0,Apuí,21.403
AM,13.0,201.0,Atalaia do Norte,15.44
AM,13.0,300.0,Autazes,41.672
AM,13.0,409.0,Barcelos,18.399(3)
AM,13.0,508.0,Barreirinha,30.99
AM,13.0,607.0,Benjamin Constant,37.436(4)
AM,13.0,631.0,Beruri,20.807
AM,13.0,680.0,Boa Vista do Ramos,24.018
AM,13.0,706.0,Boca do Acre,35.964
AM,13.0,805.0,Borba,33.209(5)
AM,13.0,839.0,Caapiranga,13.851(6)
AM,13.0,904.0,Canutama,17.362
AM,13.0,1001.0,Carauari,29.176
AM,13.0,1100.0,Careiro,30.819
AM,13.0,1159.0,Careiro da Várzea,19.615
AM,13.0,1209.0,Coari,71.13
AM,13.0,1308.0,Codajás,24.071
AM,13.0,1407.0,Eirunepé,33.173
AM,13.0,1506.0,Envira,17.034
AM,13.0,1605.0,Fonte Boa,27.692(7)
AM,13.0,1654.0,Guajará,13.809(8)
AM,13.0,1704.0,Humaitá,59.504(9)
AM,13.0,1803.0,Ipixuna,24.387
AM,13.0,1852.0,Iranduba,59.767
AM,13.0,1902.0,Itacoatiara,103.826(31)
AM,13.0,1951.0,Itamarati,10.783(10)
AM,13.0,2009.0,Itapiranga,10.183(11)
AM,13.0,2108.0,Japurá,9.281
AM,13.0,2207.0,Juruá,10.501
AM,13.0,2306.0,Jutaí,25.048(13)
AM,13.0,2405.0,Lábrea,47.003(14)
AM,13.0,2504.0,Manacapuru,102.736(15)
AM,13.0,2553.0,Manaquiri,17.333
AM,13.0,2603.0,Manaus,"2,054,731"
AM,13.0,2702.0,Manicoré,59.225
AM,13.0,2801.0,Maraã,15.706
AM,13.0,2900.0,Maués,61.167
AM,13.0,3007.0,Nhamundá,20.249
AM,13.0,3106.0,Nova Olinda do Norte,27.088
AM,13.0,3205.0,Novo Airão,15.819(16)
AM,13.0,3304.0,Novo Aripuanã,24.251
AM,13.0,3403.0,Parintins,96.251(17)
AM,13.0,3502.0,Pauini,20.351(18)
AM,13.0,3536.0,Presidente Figueiredo,30.762
AM,13.0,3569.0,Rio Preto da Eva,24.807
AM,13.0,3601.0,Santa Isabel do Rio Negro,14.305(19)
AM,13.0,3700.0,Santo Antônio do Içá,28.233(32)
AM,13.0,3809.0,São Gabriel da Cachoeira,51.921
AM,13.0,3908.0,São Paulo de Olivença,32.727
AM,13.0,3957.0,São Sebastião do Uatumã,11.697
AM,13.0,4005.0,Silves,11.572
AM,13.0,4062.0,Tabatinga,66.837(20)
AM,13.0,4104.0,Tapauá,21.914
AM,13.0,4203.0,Tefé,74.142
AM,13.0,4237.0,Tonantins,20.18
AM,13.0,4260.0,Uarini,14.597
AM,13.0,4302.0,Urucará,18.582(21)
AM,13.0,4401.0,Urucurituba,24.017(22)
RR,14.0,27.0,Amajari,16.994
RR,14.0,50.0,Alto Alegre,23.582
RR,14.0,100.0,Boa Vista,408.157
RR,14.0,159.0,Bonfim,16.169
RR,14.0,175.0,Cantá,18.03
RR,14.0,209.0,Caracaraí,20.78
RR,14.0,233.0,Caroebe,10.555
RR,14.0,282.0,Iracema,11.0
RR,14.0,308.0,Mucajaí,17.058
RR,14.0,407.0,Normandia,15.264
RR,14.0,456.0,Pacaraima,19.317
RR,14.0,472.0,Rorainópolis,29.932
RR,14.0,506.0,São João da Baliza,8.011
RR,14.0,605.0,São Luiz,6.192
RR,14.0,704.0,Uiramutã,13.764
PA,15.0,107.0,Abaetetuba,158.042
PA,15.0,131.0,Abel Figueiredo,6.119
PA,15.0,206.0,Acará,63.268
PA,15.0,305.0,Afuá,38.02
PA,15.0,347.0,Água Azul do Norte,16.672
PA,15.0,404.0,Alenquer,86.096
PA,15.0,503.0,Almeirim,38.843
PA,15.0,602.0,Altamira,135.067
PA,15.0,701.0,Anajás,34.065
PA,15.0,800.0,Ananindeua,515.745
PA,15.0,859.0,Anapu,33.566
PA,15.0,909.0,Augusto Corrêa,43.691
PA,15.0,958.0,Aurora do Pará,32.772
PA,15.0,1006.0,Aveiro,18.343
PA,15.0,1105.0,Bagre,35.265
PA,15.0,1204.0,Baião,51.844
PA,15.0,1253.0,Bannach,3.73
PA,15.0,1303.0,Barcarena,126.733
PA,15.0,1402.0,Belém,"1,367,336"
PA,15.0,1451.0,Belterra,18.06
PA,15.0,1501.0,Benevides,56.152
PA,15.0,1576.0,Bom Jesus do Tocantins,14.511
PA,15.0,1600.0,Bonito,12.892
PA,15.0,1709.0,Bragança,121.793
PA,15.0,1725.0,Brasil Novo,30.214
PA,15.0,1758.0,Brejo Grande do Araguaia,6.791
PA,15.0,1782.0,Breu Branco,40.157
PA,15.0,1808.0,Breves,114.628
PA,15.0,1907.0,Bujaru,27.049
PA,15.0,1956.0,Cachoeira do Piriá,26.51
PA,15.0,2004.0,Cachoeira do Arari,22.95
PA,15.0,2103.0,Cametá,134.734
PA,15.0,2152.0,Canaã dos Carajás,75.433
PA,15.0,2202.0,Capanema,70.321
PA,15.0,2301.0,Capitão Poço,56.331
PA,15.0,2400.0,Castanhal,200.003
PA,15.0,2509.0,Chaves,20.63
PA,15.0,2608.0,Colares,11.923
PA,15.0,2707.0,Conceição do Araguaia,44.765
PA,15.0,2756.0,Concórdia do Pará,26.869
PA,15.0,2764.0,Cumaru do Norte,12.397
PA,15.0,2772.0,Curionópolis,19.929
PA,15.0,2806.0,Curralinho,38.06
PA,15.0,2855.0,Curuá,14.126
PA,15.0,2905.0,Curuçá,44.493
PA,15.0,2939.0,Dom Eliseu,58.444
PA,15.0,2954.0,Eldorado do Carajás,30.264
PA,15.0,3002.0,Faro,8.728
PA,15.0,3044.0,Floresta do Araguaia,17.896
PA,15.0,3077.0,Garrafão do Norte,24.716
PA,15.0,3093.0,Goianésia do Pará,23.806
PA,15.0,3101.0,Gurupá,31.945
PA,15.0,3200.0,Igarapé-Açu,35.788
PA,15.0,3309.0,Igarapé-Miri,66.369
PA,15.0,3408.0,Inhangapi,10.334
PA,15.0,3457.0,Ipixuna do Pará,29.116
PA,15.0,3507.0,Irituia,30.627
PA,15.0,3606.0,Itaituba,137.17
PA,15.0,3705.0,Itupiranga,53.873
PA,15.0,3754.0,Jacareacanga,24.742(23)
PA,15.0,3804.0,Jacundá,36.184
PA,15.0,3903.0,Juruti,57.837
PA,15.0,4000.0,Limoeiro do Ajuru,29.617
PA,15.0,4059.0,Mãe do Rio,34.566
PA,15.0,4109.0,Magalhães Barata,8.09
PA,15.0,4208.0,Marabá,271.321
PA,15.0,4307.0,Maracanã,25.929
PA,15.0,4406.0,Marapanim,30.867
PA,15.0,4422.0,Marituba,123.89
PA,15.0,4455.0,Medicilândia,26.438
PA,15.0,4505.0,Melgaço,26.77
PA,15.0,4604.0,Mocajuba,27.265
PA,15.0,4703.0,Moju,81.364
PA,15.0,4752.0,Mojuí dos Campos,22.845
PA,15.0,4802.0,Monte Alegre,59.89
PA,15.0,4901.0,Muaná,60.117
PA,15.0,4950.0,Nova Esperança do Piriá,21.132
PA,15.0,4976.0,Nova Ipixuna,13.318
PA,15.0,5007.0,Nova Timboteua,12.737
PA,15.0,5031.0,Novo Progresso,33.636
PA,15.0,5064.0,Novo Repartimento,60.438
PA,15.0,5106.0,Óbidos,58.121
PA,15.0,5205.0,Oeiras do Pará,33.886
PA,15.0,5304.0,Oriximiná,76.14
PA,15.0,5403.0,Ourém,17.836
PA,15.0,5437.0,Ourilândia do Norte,26.57
PA,15.0,5486.0,Pacajá,43.527
PA,15.0,5494.0,Palestina do Pará,6.872
PA,15.0,5502.0,Paragominas,104.883
PA,15.0,5536.0,Parauapebas,271.577
PA,15.0,5551.0,Pau D'Arco,6.772
PA,15.0,5601.0,Peixe-Boi,8.315
PA,15.0,5635.0,Piçarra,12.794
PA,15.0,5650.0,Placas,18.602
PA,15.0,5700.0,Ponta de Pedras,24.913
PA,15.0,5809.0,Portel,67.288
PA,15.0,5908.0,Porto de Moz,40.709
PA,15.0,6005.0,Prainha,35.655
PA,15.0,6104.0,Primavera,10.7
PA,15.0,6112.0,Quatipuru,11.534
PA,15.0,6138.0,Redenção,91.227
PA,15.0,6161.0,Rio Maria,17.965
PA,15.0,6187.0,Rondon do Pará,35.182
PA,15.0,6195.0,Rurópolis,41.975
PA,15.0,6203.0,Salinópolis,44.451
PA,15.0,6302.0,Salvaterra,24.701
PA,15.0,6351.0,Santa Bárbara do Pará,21.089
PA,15.0,6401.0,Santa Cruz do Arari,6.82
PA,15.0,6500.0,Santa Izabel do Pará,68.963
PA,15.0,6559.0,Santa Luzia do Pará,20.341
PA,15.0,6583.0,Santa Maria das Barreiras,17.639
PA,15.0,6609.0,Santa Maria do Pará,24.583
PA,15.0,6708.0,Santana do Araguaia,44.526
PA,15.0,6807.0,Santarém,351.22
PA,15.0,6906.0,Santarém Novo,6.116
PA,15.0,7003.0,Santo Antônio do Tauá,28.282
PA,15.0,7102.0,São Caetano de Odivelas,15.226
PA,15.0,7151.0,São Domingos do Araguaia,20.97
PA,15.0,7201.0,São Domingos do Capim,30.144
PA,15.0,7300.0,São Félix do Xingu,81.161
PA,15.0,7409.0,São Francisco do Pará,14.912
PA,15.0,7458.0,São Geraldo do Araguaia,24.243
PA,15.0,7466.0,São João da Ponta,4.264
PA,15.0,7474.0,São João de Pirabas,20.593
PA,15.0,7508.0,São João do Araguaia,13.446
PA,15.0,7607.0,São Miguel do Guamá,52.81
PA,15.0,7706.0,São Sebastião da Boa Vista,31.336
PA,15.0,7755.0,Sapucaia,5.295
PA,15.0,7805.0,Senador José Porfírio,22.651
PA,15.0,7904.0,Soure,24.183
PA,15.0,7953.0,Tailândia,84.206
PA,15.0,7961.0,Terra Alta,10.404
PA,15.0,7979.0,Terra Santa,18.804
PA,15.0,8001.0,Tomé-Açu,76.055
PA,15.0,8035.0,Tracuateua,28.015
PA,15.0,8050.0,Trairão,18.924
PA,15.0,8084.0,Tucumã,34.812
PA,15.0,8100.0,Tucuruí,90.232
PA,15.0,8126.0,Ulianópolis,56.562
PA,15.0,8159.0,Uruará,48.511
PA,15.0,8209.0,Vigia,49.096
PA,15.0,8308.0,Viseu,58.095
PA,15.0,8357.0,Vitória do Xingu,15.104
PA,15.0,8407.0,Xinguara,56.127
AP,16.0,55.0,Serra do Navio,4.744
AP,16.0,105.0,Amapá,7.944
AP,16.0,154.0,Pedra Branca do Amapari,12.365
AP,16.0,204.0,Calçoene,10.613
AP,16.0,212.0,Cutias,4.388
AP,16.0,238.0,Ferreira Gomes,6.689
AP,16.0,253.0,Itaubal,5.477
AP,16.0,279.0,Laranjal do Jari,35.038
AP,16.0,303.0,Macapá,478.448
AP,16.0,402.0,Mazagão,22.105
AP,16.0,501.0,Oiapoque,27.778
AP,16.0,535.0,Porto Grande,17.923
AP,16.0,550.0,Pracuúba,3.803
AP,16.0,600.0,Santana,114.995
AP,16.0,709.0,Tartarugalzinho,10.511
AP,16.0,808.0,Vitória do Jari,11.447
TO,17.0,251.0,Abreulândia,2.463
TO,17.0,301.0,Aguiarnópolis,4.787
TO,17.0,350.0,Aliança do Tocantins,4.932
TO,17.0,400.0,Almas,9.044
TO,17.0,707.0,Alvorada,8.821
TO,17.0,1002.0,Ananás,10.368
TO,17.0,1051.0,Angico,3.062
TO,17.0,1101.0,Aparecida do Rio Negro,4.965
TO,17.0,1309.0,Aragominas,6.914
TO,17.0,1903.0,Araguacema,5.913
TO,17.0,2000.0,Araguaçu,8.666
TO,17.0,2109.0,Araguaína,186.867
TO,17.0,2158.0,Araguanã,4.316
TO,17.0,2208.0,Araguatins,31.719
TO,17.0,2307.0,Arapoema,5.443
TO,17.0,2406.0,Arraias,10.253
TO,17.0,2554.0,Augustinópolis,17.471
TO,17.0,2703.0,Aurora do Tocantins,3.338
TO,17.0,2901.0,Axixá do Tocantins,10.267
TO,17.0,3008.0,Babaçulândia,8.218
TO,17.0,3057.0,Bandeirantes do Tocantins,3.548
TO,17.0,3073.0,Barra do Ouro,4.643
TO,17.0,3107.0,Barrolândia,4.875
TO,17.0,3206.0,Bernardo Sayão,4.217
TO,17.0,3305.0,Bom Jesus do Tocantins,4.087
TO,17.0,3602.0,Brasilândia do Tocantins,1.947
TO,17.0,3701.0,Brejinho de Nazaré,4.753
TO,17.0,3800.0,Buriti do Tocantins,10.346
TO,17.0,3826.0,Cachoeirinha,1.964
TO,17.0,3842.0,Campos Lindos,8.661
TO,17.0,3867.0,Cariri do Tocantins,3.555
TO,17.0,3883.0,Carmolândia,2.203
TO,17.0,3891.0,Carrasco Bonito,3.343
TO,17.0,3909.0,Caseara,4.764
TO,17.0,4105.0,Centenário,2.133
TO,17.0,4600.0,Chapada de Areia,1.358
TO,17.0,5102.0,Chapada da Natividade,3.118
TO,17.0,5508.0,Colinas do Tocantins,33.967
TO,17.0,5557.0,Combinado,4.751
TO,17.0,5607.0,Conceição do Tocantins,3.891
TO,17.0,6001.0,Couto Magalhães,5.254
TO,17.0,6100.0,Cristalândia,6.331
TO,17.0,6258.0,Crixás do Tocantins,1.411
TO,17.0,6506.0,Darcinópolis,6.357
TO,17.0,7009.0,Dianópolis,17.658
TO,17.0,7108.0,Divinópolis do Tocantins,7.065
TO,17.0,7207.0,Dois Irmãos do Tocantins,6.735
TO,17.0,7306.0,Dueré,4.284
TO,17.0,7405.0,Esperantina,7.51
TO,17.0,7553.0,Fátima,3.445
TO,17.0,7652.0,Figueirópolis,5.185
TO,17.0,7702.0,Filadélfia,10.59
TO,17.0,8205.0,Formoso do Araguaia,20.471
TO,17.0,8254.0,Tabocão,3.458
TO,17.0,8304.0,Goianorte,4.779
TO,17.0,9005.0,Goiatins,12.798
TO,17.0,9302.0,Guaraí,26.444
TO,17.0,9500.0,Gurupi,83.817
TO,17.0,9807.0,Ipueiras,1.597
TO,17.0,10508.0,Itacajá,6.78
TO,17.0,10706.0,Itaguatins,5.187
TO,17.0,10904.0,Itapiratins,3.936
TO,17.0,11100.0,Itaporã do Tocantins,2.407
TO,17.0,11506.0,Jaú do Tocantins,3.475
TO,17.0,11803.0,Juarina,2.24
TO,17.0,11902.0,Lagoa da Confusão,16.117
TO,17.0,11951.0,Lagoa do Tocantins,3.501
TO,17.0,12009.0,Lajeado,3.652
TO,17.0,12157.0,Lavandeira,1.625
TO,17.0,12405.0,Lizarda,2.994
TO,17.0,12454.0,Luzinópolis,2.989
TO,17.0,12504.0,Marianópolis do Tocantins,4.46
TO,17.0,12702.0,Mateiros,2.076
TO,17.0,12801.0,Maurilândia do Tocantins,3.234
TO,17.0,13205.0,Miracema do Tocantins,19.561
TO,17.0,13304.0,Miranorte,13.027
TO,17.0,13601.0,Monte do Carmo,5.874
TO,17.0,13700.0,Monte Santo do Tocantins,2.29
TO,17.0,13809.0,Palmeiras do Tocantins,5.359
TO,17.0,13957.0,Muricilândia,3.722
TO,17.0,14203.0,Natividade,8.643
TO,17.0,14302.0,Nazaré,4.664
TO,17.0,14880.0,Nova Olinda,10.353
TO,17.0,15002.0,Nova Rosalândia,3.334
TO,17.0,15101.0,Novo Acordo,3.828
TO,17.0,15150.0,Novo Alegre,1.845
TO,17.0,15259.0,Novo Jardim,2.235
TO,17.0,15507.0,Oliveira de Fátima,1.172
TO,17.0,15705.0,Palmeirante,4.947
TO,17.0,15754.0,Palmeirópolis,7.262
TO,17.0,16109.0,Paraíso do Tocantins,51.494
TO,17.0,16208.0,Paranã,10.492
TO,17.0,16307.0,Pau D'Arco,4.017
TO,17.0,16505.0,Pedro Afonso,14.675
TO,17.0,16604.0,Peixe,9.431
TO,17.0,16653.0,Pequizeiro,4.893
TO,17.0,16703.0,Colméia,8.476
TO,17.0,17008.0,Pindorama do Tocantins,4.128
TO,17.0,17206.0,Piraquê,2.278
TO,17.0,17503.0,Pium,7.132
TO,17.0,17800.0,Ponte Alta do Bom Jesus,4.222
TO,17.0,17909.0,Ponte Alta do Tocantins,7.284
TO,17.0,18006.0,Porto Alegre do Tocantins,2.869
TO,17.0,18204.0,Porto Nacional,71.101
TO,17.0,18303.0,Praia Norte,8.808
TO,17.0,18402.0,Presidente Kennedy,2.963
TO,17.0,18451.0,Pugmil,2.185
TO,17.0,18501.0,Recursolândia,3.38
TO,17.0,18550.0,Riachinho,3.962
TO,17.0,18659.0,Rio da Conceição,1.747
TO,17.0,18709.0,Rio dos Bois,2.737
TO,17.0,18758.0,Rio Sono,5.6
TO,17.0,18808.0,Sampaio,4.203
TO,17.0,18840.0,Sandolândia,4.631
TO,17.0,18865.0,Santa Fé do Araguaia,7.919
TO,17.0,18881.0,Santa Maria do Tocantins,2.557
TO,17.0,18899.0,Santa Rita do Tocantins,2.177
TO,17.0,18907.0,Santa Rosa do Tocantins,4.701
TO,17.0,19004.0,Santa Tereza do Tocantins,2.715
TO,17.0,20002.0,Santa Terezinha do Tocantins,2.56
TO,17.0,20101.0,São Bento do Tocantins,5.387
TO,17.0,20150.0,São Félix do Tocantins,1.78
TO,17.0,20200.0,São Miguel do Tocantins,14.103
TO,17.0,20259.0,São Salvador do Tocantins,2.481
TO,17.0,20309.0,São Sebastião do Tocantins,4.1
TO,17.0,20499.0,São Valério,4.399
TO,17.0,20655.0,Silvanópolis,5.126
TO,17.0,20804.0,Sítio Novo do Tocantins,10.83
TO,17.0,20853.0,Sucupira,1.576
TO,17.0,20903.0,Taguatinga,13.986
TO,17.0,20937.0,Taipas do Tocantins,2.023
TO,17.0,20978.0,Talismã,2.661
TO,17.0,21000.0,Palmas,334.454
TO,17.0,21109.0,Tocantínia,8.518
TO,17.0,21208.0,Tocantinópolis,23.847
TO,17.0,21257.0,Tupirama,1.803
TO,17.0,21307.0,Tupiratins,1.861
TO,17.0,22081.0,Wanderlândia,11.586
TO,17.0,22107.0,Xambioá,10.519
MA,21.0,55.0,Açailândia,107.263
MA,21.0,105.0,Afonso Cunha,6.144
MA,21.0,154.0,Água Doce do Maranhão,12.154
MA,21.0,204.0,Alcântara,18.446
MA,21.0,303.0,Aldeias Altas,22.549
MA,21.0,402.0,Altamira do Maranhão,6.451
MA,21.0,436.0,Alto Alegre do Maranhão,23.27
MA,21.0,477.0,Alto Alegre do Pindaré,25.673
MA,21.0,501.0,Alto Parnaíba,11.076
MA,21.0,550.0,Amapá do Maranhão,7.162
MA,21.0,600.0,Amarante do Maranhão,36.266
MA,21.0,709.0,Anajatuba,23.968
MA,21.0,808.0,Anapurus,13.795
MA,21.0,832.0,Apicum-Açu,17.533
MA,21.0,873.0,Araguanã,11.169
MA,21.0,907.0,Araioses,38.98
MA,21.0,956.0,Arame,25.646
MA,21.0,1004.0,Arari,29.302
MA,21.0,1103.0,Axixá,11.797
MA,21.0,1202.0,Bacabal,104.352
MA,21.0,1251.0,Bacabeira,17.073
MA,21.0,1301.0,Bacuri,16.206
MA,21.0,1350.0,Bacurituba,5.196
MA,21.0,1400.0,Balsas,100.257
MA,21.0,1509.0,Barão de Grajaú,19.31
MA,21.0,1608.0,Barra do Corda,84.708
MA,21.0,1707.0,Barreirinhas,69.312
MA,21.0,1731.0,Belágua,8.504
MA,21.0,1772.0,Bela Vista do Maranhão,11.911
MA,21.0,1806.0,Benedito Leite,5.472
MA,21.0,1905.0,Bequimão,19.572
MA,21.0,1939.0,Bernardo do Mearim,5.842
MA,21.0,1970.0,Boa Vista do Gurupi,7.622
MA,21.0,2002.0,Bom Jardim,32.894
MA,21.0,2036.0,Bom Jesus das Selvas,28.589
MA,21.0,2077.0,Bom Lugar,11.675
MA,21.0,2101.0,Brejo,34.116
MA,21.0,2150.0,Brejo de Areia,9.224
MA,21.0,2200.0,Buriti,29.693
MA,21.0,2309.0,Buriti Bravo,22.427
MA,21.0,2325.0,Buriticupu,52.395
MA,21.0,2358.0,Buritirana,12.87
MA,21.0,2374.0,Cachoeira Grande,10.227
MA,21.0,2408.0,Cajapió,10.032
MA,21.0,2507.0,Cajari,16.296
MA,21.0,2556.0,Campestre do Maranhão,12.185
MA,21.0,2606.0,Cândido Mendes,19.805
MA,21.0,2705.0,Cantanhede,17.355
MA,21.0,2754.0,Capinzal do Norte,11.372
MA,21.0,2804.0,Carolina,24.056
MA,21.0,2903.0,Carutapera,24.263
MA,21.0,3000.0,Caxias,153.634
MA,21.0,3109.0,Cedral,10.214
MA,21.0,3125.0,Central do Maranhão,7.086
MA,21.0,3158.0,Centro do Guilherme,12.384
MA,21.0,3174.0,Centro Novo do Maranhão,16.254
MA,21.0,3208.0,Chapadinha,81.339
MA,21.0,3257.0,Cidelândia,12.857
MA,21.0,3307.0,Codó,112.11
MA,21.0,3406.0,Coelho Neto,41.353
MA,21.0,3505.0,Colinas,40.322
MA,21.0,3554.0,Conceição do Lago-Açu,14.921
MA,21.0,3604.0,Coroatá,59.563
MA,21.0,3703.0,Cururupu,31.662
MA,21.0,3752.0,Davinópolis,14.467
MA,21.0,3802.0,Dom Pedro,23.111
MA,21.0,3901.0,Duque Bacelar,10.223
MA,21.0,4008.0,Esperantinópolis,18.355
MA,21.0,4057.0,Estreito,33.245
MA,21.0,4073.0,Feira Nova do Maranhão,8.048
MA,21.0,4081.0,Fernando Falcão,10.875
MA,21.0,4099.0,Formosa da Serra Negra,17.758
MA,21.0,4107.0,Fortaleza dos Nogueiras,12.642
MA,21.0,4206.0,Fortuna,17.075
MA,21.0,4305.0,Godofredo Viana,9.894
MA,21.0,4404.0,Gonçalves Dias,17.432
MA,21.0,4503.0,Governador Archer,10.294
MA,21.0,4552.0,Governador Edison Lobão,18.375
MA,21.0,4602.0,Governador Eugênio Barros,13.918
MA,21.0,4628.0,Governador Luiz Rocha,7.061
MA,21.0,4651.0,Governador Newton Bello,10.708
MA,21.0,4677.0,Governador Nunes Freire,22.754
MA,21.0,4701.0,Graça Aranha,6.012
MA,21.0,4800.0,Grajaú,73.942
MA,21.0,4909.0,Guimarães,10.285
MA,21.0,5005.0,Humberto de Campos,25.656
MA,21.0,5104.0,Icatu,24.719
MA,21.0,5153.0,Igarapé do Meio,13.483
MA,21.0,5203.0,Igarapé Grande,10.222
MA,21.0,5302.0,Imperatriz,273.027
MA,21.0,5351.0,Itaipava do Grajaú,13.847
MA,21.0,5401.0,Itapecuru Mirim,65.721
MA,21.0,5427.0,Itinga do Maranhão,23.904
MA,21.0,5450.0,Jatobá,8.239
MA,21.0,5476.0,Jenipapo dos Vieiras,17.066
MA,21.0,5500.0,João Lisboa,24.609
MA,21.0,5609.0,Joselândia,14.942
MA,21.0,5658.0,Junco do Maranhão,5.146
MA,21.0,5708.0,Lago da Pedra,44.422
MA,21.0,5807.0,Lago do Junco,9.491
MA,21.0,5906.0,Lago Verde,14.678
MA,21.0,5922.0,Lagoa do Mato,10.583
MA,21.0,5948.0,Lago dos Rodrigues,8.755
MA,21.0,5963.0,Lagoa Grande do Maranhão,11.417
MA,21.0,5989.0,Lajeado Novo,7.051
MA,21.0,6003.0,Lima Campos,11.32
MA,21.0,6102.0,Loreto,11.526
MA,21.0,6201.0,Luís Domingues,7.159
MA,21.0,6300.0,Magalhães de Almeida,13.747
MA,21.0,6326.0,Maracaçumé,21.106
MA,21.0,6359.0,Marajá do Sena,7.2
MA,21.0,6375.0,Maranhãozinho,13.797
MA,21.0,6409.0,Mata Roma,16.919
MA,21.0,6508.0,Matinha,21.808
MA,21.0,6607.0,Matões,31.954
MA,21.0,6631.0,Matões do Norte,17.582
MA,21.0,6672.0,Milagres do Maranhão,8.812
MA,21.0,6706.0,Mirador,20.998
MA,21.0,6755.0,Miranda do Norte,20.562
MA,21.0,6805.0,Mirinzal,13.958
MA,21.0,6904.0,Monção,27.62
MA,21.0,7001.0,Montes Altos,10.286
MA,21.0,7100.0,Morros,18.054
MA,21.0,7209.0,Nina Rodrigues,12.477
MA,21.0,7258.0,Nova Colinas,5.021
MA,21.0,7308.0,Nova Iorque,4.308
MA,21.0,7357.0,Nova Olinda do Maranhão,14.277
MA,21.0,7407.0,Olho d'Água das Cunhãs,17.937
MA,21.0,7456.0,Olinda Nova do Maranhão,13.32
MA,21.0,7506.0,Paço do Lumiar,145.752(24)
